
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0134217728, Systemstep: 0, Dloga: 0
Begin Step 161, Time: 0.106021, Redshift: 8.43212, Nf = 0000000421, Systemstep: 0.000238132, Dloga: 0.00224862

Begin Step 162, Time: 0.106259, Redshift: 8.41094, Nf = 0000000015, Systemstep: 0.000238668, Dloga: 0.00224862

Begin Step 163, Time: 0.106499, Redshift: 8.3898, Nf = 0000005123, Systemstep: 0.000239206, Dloga: 0.00224862

Begin Step 164, Time: 0.106738, Redshift: 8.36871, Nf = 0000000016, Systemstep: 0.000239744, Dloga: 0.00224862

Begin Step 165, Time: 0.106979, Redshift: 8.34766, Nf = 0000000504, Systemstep: 0.000240284, Dloga: 0.00224862

Begin Step 166, Time: 0.107219, Redshift: 8.32667, Nf = 0000000017, Systemstep: 0.000240825, Dloga: 0.00224862

Begin Step 167, Time: 0.107461, Redshift: 8.30572, Nf = 0134217728, Systemstep: 0.000241367, Dloga: 0.00224862

Begin Step 168, Time: 0.107703, Redshift: 8.28482, Nf = 0000000016, Systemstep: 0.00024191, Dloga: 0.00224862

Begin Step 169, Time: 0.107945, Redshift: 8.26396, Nf = 0000000582, Systemstep: 0.000242455, Dloga: 0.00224862

Begin Step 170, Time: 0.108188, Redshift: 8.24316, Nf = 0000000015, Systemstep: 0.000243001, Dloga: 0.00224862

Begin Step 171, Time: 0.108432, Redshift: 8.2224, Nf = 0000013211, Systemstep: 0.000243548, Dloga: 0.00224862

Begin Step 172, Time: 0.108676, Redshift: 8.20168, Nf = 0000000013, Systemstep: 0.000244096, Dloga: 0.00224862

Begin Step 173, Time: 0.10892, Redshift: 8.18101, Nf = 0000000701, Systemstep: 0.000244645, Dloga: 0.00224862

Begin Step 174, Time: 0.109166, Redshift: 8.16039, Nf = 0000000011, Systemstep: 0.000245196, Dloga: 0.00224862

Begin Step 175, Time: 0.109411, Redshift: 8.13982, Nf = 0090524623, Systemstep: 0.000245748, Dloga: 0.00224862

Begin Step 176, Time: 0.109658, Redshift: 8.11929, Nf = 0000000009, Systemstep: 0.000246301, Dloga: 0.00224862

Begin Step 177, Time: 0.109905, Redshift: 8.09881, Nf = 0000000828, Systemstep: 0.000246856, Dloga: 0.00224862

Begin Step 178, Time: 0.110152, Redshift: 8.07837, Nf = 0000000009, Systemstep: 0.000247411, Dloga: 0.00224862

Begin Step 179, Time: 0.1104, Redshift: 8.05798, Nf = 0000015119, Systemstep: 0.000247968, Dloga: 0.00224862

Begin Step 180, Time: 0.110648, Redshift: 8.03763, Nf = 0000000010, Systemstep: 0.000248527, Dloga: 0.00224862

Begin Step 181, Time: 0.110898, Redshift: 8.01733, Nf = 0000000998, Systemstep: 0.000249086, Dloga: 0.00224862

Begin Step 182, Time: 0.111147, Redshift: 7.99708, Nf = 0000000008, Systemstep: 0.000249647, Dloga: 0.00224862

Begin Step 183, Time: 0.111397, Redshift: 7.97687, Nf = 0133156290, Systemstep: 0.000250209, Dloga: 0.00224862

Begin Step 184, Time: 0.111648, Redshift: 7.95671, Nf = 0000000004, Systemstep: 0.000250772, Dloga: 0.00224862

Begin Step 185, Time: 0.111899, Redshift: 7.93659, Nf = 0000001239, Systemstep: 0.000251337, Dloga: 0.00224862

Begin Step 186, Time: 0.112151, Redshift: 7.91652, Nf = 0000000003, Systemstep: 0.000251902, Dloga: 0.00224862

Begin Step 187, Time: 0.112404, Redshift: 7.89649, Nf = 0000017650, Systemstep: 0.000252469, Dloga: 0.00224862

Begin Step 188, Time: 0.112657, Redshift: 7.87651, Nf = 0000000002, Systemstep: 0.000253038, Dloga: 0.00224862

Begin Step 189, Time: 0.112911, Redshift: 7.85657, Nf = 0000001475, Systemstep: 0.000253607, Dloga: 0.00224862

Begin Step 190, Time: 0.113165, Redshift: 7.83668, Nf = 0000000001, Systemstep: 0.000254178, Dloga: 0.00224862

